"","Club","P","W","D","L","GD","Pts","GF","GA","GF.Avg","GA.Avg","HW","HD","HL","HW.Rate","AW","AD","AL","AW.Rate","W.Rate","S","ST","C","F","B","YC","RC","Col","City"
"1","Man City",30,22,5,3,43,71,64,21,2.1,0.7,12,2,2,75,10,3,1,71,73,471,177,199,279,30,30,0,"#6CABDD","Manchester"
"2","Man United",29,16,9,4,24,57,56,32,1.9,1.1,7,3,4,50,9,6,0,60,55,399,164,150,353,49,48,1,"#DA291C","Manchester"
"3","Leicester",29,17,5,7,21,56,53,32,1.8,1.1,7,1,6,50,10,4,1,67,59,357,136,154,302,50,50,0,"#003090","Leceister"
"4","Chelsea",29,14,9,6,19,51,44,25,1.5,0.9,7,5,2,50,7,4,4,47,48,413,153,180,332,36,35,1,"#034694","London"
"5","West Ham",29,14,7,8,10,49,45,35,1.6,1.2,8,4,3,53,6,3,5,43,48,347,124,131,305,36,35,1,"#7A263A","London"
"6","Tottenham",29,14,6,9,19,48,49,30,1.7,1,7,3,4,50,7,3,5,47,48,321,127,117,348,42,40,2,"#132257","London"
"7","Liverpool",29,13,7,9,12,46,48,36,1.7,1.2,7,2,6,47,6,5,3,43,45,434,153,191,293,32,32,0,"#9C1310","Liverpool"
"8","Everton",28,14,4,10,3,46,40,37,1.4,1.3,5,2,7,36,9,2,3,64,50,273,108,119,290,48,46,2,"#003399","Liverpool"
"9","Arsenal",29,12,6,11,8,42,40,32,1.4,1.1,6,3,5,43,6,3,6,40,41,349,115,153,268,45,40,5,"#EF0107","London"
"10","Aston Villa",28,12,5,11,9,41,39,30,1.4,1.1,5,2,6,38,7,3,5,47,43,374,140,165,316,48,47,1,"#95BFE5","Birmingham"
"11","Leeds",29,12,3,14,-2,39,45,47,1.6,1.6,5,3,6,36,7,0,8,47,41,404,150,173,310,45,45,0,"#FFCD00","Leeds"
"12","Crystal Palace",29,10,7,12,-16,37,31,47,1.1,1.6,5,5,5,33,5,2,7,36,34,250,88,110,312,41,39,2,"#A7A5A6","London"
"13","Wolves",29,9,8,12,-10,35,28,38,1,1.3,5,4,5,36,4,4,7,27,31,339,113,153,333,42,42,0,"#FDB913","Wolverhampton"
"14","Southampton",29,9,6,14,-15,33,36,51,1.2,1.8,5,2,7,36,4,4,7,27,31,299,118,128,327,45,43,2,"#D71920","Southampton"
"15","Burnley",29,8,9,12,-15,33,22,37,0.8,1.3,4,6,5,27,4,3,7,29,28,271,92,114,307,39,39,0,"#6C1D45","Burnley"
"16","Brighton",29,7,11,11,-4,32,32,36,1.1,1.2,2,7,6,13,5,4,5,36,24,375,114,170,340,38,35,3,"#0057B8","Brighton & Hove"
"17","Newcastle",29,7,7,15,-20,28,28,48,1,1.7,4,4,6,29,3,3,9,20,24,286,98,123,304,52,50,2,"#241F20","Newcastle"
"18","Fulham",30,5,11,14,-15,26,23,38,0.8,1.3,2,4,10,12,3,7,4,21,17,347,111,129,381,56,53,3,"#000000","London"
"19","West Brom",29,3,9,17,-37,18,20,57,0.7,2,2,5,8,13,1,4,9,7,10,237,77,101,312,43,39,4,"#122F67","West Bromwich"
"20","Sheffield United",29,4,2,23,-34,14,16,50,0.6,1.7,3,1,11,20,1,1,12,7,14,246,83,132,359,58,55,3,"#EE2737","Sheffield"
